Horodateur,Ton pseudo ?,"98 - Alors les awards, on balance le lien aux viewers ?","2 - Vilain de la saison

Un joueur prêt à tout pour gagner, même les manigances les plus maléfiques. Mensonges, trahisons et manipulation sont ses mots fétiches.","3 - Best Prémerge

Une personne qui a été éliminé en pre-merge (de 13ème à 20ème) qui vous a particulièrement marquée, que ça soit par son jeu ou juste par simple fait que vous l'appréciez beaucoup !","4 - Mérite de revenir

Le joueur qui devrait ABSOLUMENT avoir une seconde chance car il n'a pas eu le temps de montrer tout ce qu'il avait dans le ventre ou alors que vous l'avez juste adoré et que vous voulez revoir ses prouesses.","5 - Surprise de la saison

Le joueur qui vous a le plus surpris. Au début de la saison, vous vous dites que X n'allait pas faire grand chose/n'allait pas tenir longtemps, et au final, il a accompli bien plus que vous le pensiez !","6 - Best Stratège

Celui qui a fait le plus de stratégies, aussi bien de façon ouverte que dans le dos des gens. Il veut contrôler son destin à 100%, mais aussi celui des autres ...","7 - Best Social

Celui qui a réussi à nouer de nombreuses relations avec les personnes sur le campement. Il veut peut-être avoir beaucoup d'alliances, ou peut tout justement bien s'entendre avec tout le monde par son enthousiasme !","8 - Best Confess

Le joueur qui vous a donné le plus de plaisir à lire son confess, que ça soit par son écriture, son humour ou ses pensées stratégiques plus poussées.","9 - Best Conseil

Quel a été le meilleur conseil de la saison, le plus marquant ? Celui qui a été éliminé à ce conseil emporte cet award ... c'est un bon compromis, non ?","10 - Challenge Beast

Qui est le joueur ayant le plus dominé sur les épreuves lors de la saison ?","11 - Best alliance
Quelle était la meilleure alliance (au moins 3 personnes)
 Il y a différentes propositions, mais vous êtes libres d'ajouter une autre alliance (merci de respecter la syntaxe suivante : 
[Pseudo1 ]/[Pseudo2]/[Pseudo3]/...","12 - Best Rivalité

2 personnes qui ne peuvent pas se saquer ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo (merci de respecter la syntaxe suivante : 
[Pseudo1 ]/[Pseudo2]","13 - Best Duo

Le duo qui a marqué la saison ! Il y a différentes propositions, mais vous êtes libres d'ajouter un autre duo (merci de respecter la syntaxe suivante : 
[Pseudo1 ]/[Pseudo2]","14 - Best Avantage Play

Quel avantage a été le mieux joué selon vous, et a le plus retourné le jeu en la faveur de la personne ?","15 - Worst Avantage Play

A contrario, quel avantage a été le moins bien joué dans la saison ?","16 - Best move

Quel move (pas forcément avec un avantage) a été réalisé cette saison ?","17 - Le plus motivé

Qui est le joueur qui était le plus motivé, de part son confess, de penser h24 à Survisland ou même super content de jouer !","18 - Fan Favorite

Quel a été le joueur que vous avez globalement adoré, peu importe les critères.
LE joueur parmi les joueurs !","19 - Meme  de la saison

Le meme de la saison. Une chose drôle à laquelle on pense DIRECTEMENT quand on parle de la S22 !",Si vous devriez mettre une note à la saison ...,(Si vous voulez mettre un petit commentaire sur la saison)
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
19/03/2025 14:30:33,Gold,Oui,6 - Aless,15 - Istrikizz,Oui en jaune,4 - LouKa,? - Kadxx,Oui en jaune,Oui en jaune,5 - Chouke,Oui en jaune,Alpha/LouKa/Yami,Frite/Firedo,Louka/Chouke,Frite joue son idol sur Aless (F12),RTH passe son idol à Firedo (F11),Alpha blindside Mel et sauve Kyrutoo in extremis (F17),? - Kadxx,4 - LouKa,"Louka cherche pendant 3 épisodes qui a écrit ""Loukoffre"" alors que c'est Marcus",9/20,"menfou je vote Louka au fan fav juste pour qu'il ai pas 0 vote, mais en vrai j'aurais voté Chouk j'pense. Et aussi j'ai été généreux sur la note"
